                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.68959,                  0.456,                0.84235,                 0.9276,                 0.9101,                0.93683,                0.76677,                 0.7445,                0.44501,                0.90353,             0.00069901,             0.00069901,             0.00069901
                    131,                0.67567,                0.44738,                0.83808,                0.91912,                0.91732,                0.94427,                 0.7744,                0.76518,                0.46239,                0.91144,             0.00069335,             0.00069335,             0.00069335
                    132,                0.68332,                0.44665,                0.83707,                0.90201,                0.92607,                0.93216,                0.75612,                0.75523,                 0.4453,                0.89815,             0.00068769,             0.00068769,             0.00068769
                    133,                0.68272,                0.45199,                0.84088,                0.91829,                0.91058,                0.93442,                0.76334,                0.76575,                0.44984,                0.90744,             0.00068203,             0.00068203,             0.00068203
                    134,                0.67755,                0.44664,                0.84057,                0.92236,                0.91194,                0.94078,                0.76951,                0.76079,                0.46168,                0.91032,             0.00067637,             0.00067637,             0.00067637
                    135,                0.67705,                0.44977,                0.84285,                0.92603,                 0.9261,                0.94123,                0.77482,                0.76164,                0.44314,                0.91022,             0.00067072,             0.00067072,             0.00067072
                    136,                0.67553,                0.44398,                0.83978,                0.93696,                0.92556,                0.94669,                0.76985,                0.77805,                0.44508,                0.92687,             0.00066506,             0.00066506,             0.00066506
                    137,                0.67306,                0.44445,                0.83451,                0.93119,                0.92186,                 0.9439,                0.77444,                0.74945,                0.45356,                0.90588,              0.0006594,              0.0006594,              0.0006594
                    138,                0.67338,                0.44545,                0.83636,                0.92489,                0.92297,                0.93936,                0.77308,                0.75375,                0.45576,                0.91289,             0.00065374,             0.00065374,             0.00065374
                    139,                0.66606,                0.44057,                0.83387,                 0.9293,                0.91407,                0.93636,                0.76296,                0.76104,                0.42675,                0.91602,             0.00064808,             0.00064808,             0.00064808
                    140,                0.67055,                0.44235,                0.83088,                 0.9326,                 0.9072,                0.94101,                0.77482,                0.75973,                0.42903,                0.92053,             0.00064242,             0.00064242,             0.00064242
                    141,                0.66233,                0.43771,                0.83485,                0.91668,                0.93031,                0.92934,                0.76496,                0.75978,                0.43266,                0.92315,             0.00063676,             0.00063676,             0.00063676
                    142,                0.66449,                0.43848,                0.83678,                0.92218,                0.90489,                 0.9297,                0.76707,                0.75663,                0.44511,                0.92609,              0.0006311,              0.0006311,              0.0006311
                    143,                0.66913,                0.44803,                0.83887,                0.93207,                 0.9088,                0.93855,                0.76768,                0.76289,                0.45957,                0.91556,             0.00062544,             0.00062544,             0.00062544
                    144,                0.66726,                0.44174,                0.83324,                0.90766,                0.91671,                 0.9322,                0.76363,                0.75165,                0.46824,                0.91509,             0.00061979,             0.00061979,             0.00061979
                    145,                0.65593,                0.43927,                0.83431,                0.93503,                0.90698,                0.95129,                0.78513,                0.76342,                   0.46,                0.92594,             0.00061413,             0.00061413,             0.00061413
                    146,                0.66109,                 0.4372,                0.83222,                0.93989,                0.91765,                0.93949,                0.77417,                0.76726,                0.46333,                0.93039,             0.00060847,             0.00060847,             0.00060847
                    147,                0.66681,                0.44153,                0.83477,                 0.9277,                0.92335,                0.94426,                0.77333,                0.75368,                0.45255,                0.91634,             0.00060281,             0.00060281,             0.00060281
                    148,                0.65736,                0.43418,                0.83312,                0.92394,                0.91711,                0.94666,                0.77788,                0.76013,                0.42951,                0.91885,             0.00059715,             0.00059715,             0.00059715
                    149,                0.66862,                0.44347,                0.83578,                0.92879,                0.91994,                0.94232,                0.77645,                0.76205,                0.43868,                0.92289,             0.00059149,             0.00059149,             0.00059149
                    150,                0.65759,                0.43689,                  0.833,                0.92527,                0.93436,                0.94377,                0.77518,                0.75556,                0.43291,                0.91436,             0.00058583,             0.00058583,             0.00058583
                    151,                0.66375,                0.43776,                 0.8356,                0.93308,                0.92946,                0.94366,                 0.7781,                0.76073,                0.43307,                0.92226,             0.00058017,             0.00058017,             0.00058017
                    152,                0.64992,                0.43851,                0.83067,                0.93429,                0.92882,                0.94124,                0.77758,                0.76867,                0.43907,                0.92871,             0.00057452,             0.00057452,             0.00057452
                    153,                0.65681,                 0.4323,                0.82956,                0.92621,                 0.9353,                0.94833,                0.77623,                0.77675,                0.44886,                0.92512,             0.00056886,             0.00056886,             0.00056886
                    154,                0.64684,                0.42769,                0.82612,                0.92832,                0.92408,                0.94557,                0.77964,                0.75758,                0.44434,                0.92369,              0.0005632,              0.0005632,              0.0005632
